Mu_M,Mu_C,Stable,dB_Reduction,Recovery_MSE,Peak
0.0007196856730011522,7.196856730011514e-07,True,-0.034127810641859956,0.13546609239153268,0.7092282676767965
0.0007196856730011522,1.9306977288832498e-06,True,-0.27716966804455084,0.12074186642169676,0.74400622475015
0.0007196856730011522,5.179474679231212e-06,True,-0.10318472433246623,0.17579001533927996,0.864723952208251
0.0007196856730011522,1.389495494373136e-05,False,-99.0,999.0,4.010654651926875
0.0007196856730011522,3.727593720314938e-05,False,-99.0,999.0,15.008582483429809
0.0007196856730011522,0.0001,False,-99.0,999.0,1.8848971812163215
0.0007196856730011522,0.00026826957952797245,False,-99.0,999.0,4.968619515112035
0.0007196856730011522,0.0007196856730011514,False,-99.0,999.0,492.39701786325395
0.0007196856730011522,0.0019306977288832496,False,-99.0,999.0,48.4345496802711
0.0007196856730011522,0.005179474679231213,False,-99.0,999.0,10.001737039669006
0.0007196856730011522,0.01389495494373136,False,-99.0,999.0,4790.684224043909
0.0007196856730011522,0.03727593720314938,False,-99.0,999.0,607.0937701851719
0.0007196856730011522,0.1,False,-99.0,999.0,115506.37507785893
0.0013894954943731374,1e-07,True,-0.0064376502852423086,0.13136492838404024,0.6956905649730512
0.0013894954943731374,2.6826957952797275e-07,True,-0.035578318132465,0.12970560308045398,0.6824188347159756
0.0013894954943731374,7.196856730011514e-07,True,-0.0003103803574201722,0.126269117531189,0.6922553364885061
0.0013894954943731374,1.9306977288832498e-06,True,0.06107996925421056,0.12819399352935565,0.6854918929144443
0.0013894954943731374,5.179474679231212e-06,True,-0.018088124528992243,0.11460442071423745,0.9217046825507427
0.0013894954943731374,1.389495494373136e-05,True,-1.3831254526821668,0.2321804634095418,1.1622480697971453
0.0013894954943731374,3.727593720314938e-05,False,-99.0,999.0,11.591575630819388
0.0013894954943731374,0.0001,False,-99.0,999.0,44.91351545211046
0.0013894954943731374,0.00026826957952797245,False,-99.0,999.0,73.44661652358111
0.0013894954943731374,0.0007196856730011514,False,-99.0,999.0,15.781260156557895
0.0013894954943731374,0.0019306977288832496,False,-99.0,999.0,108.87757994659837
0.0013894954943731374,0.005179474679231213,False,-99.0,999.0,53.306937945010176
0.0013894954943731374,0.01389495494373136,False,-99.0,999.0,1478.5841525326966
0.0013894954943731374,0.03727593720314938,False,-99.0,999.0,21213.99202609429
0.0013894954943731374,0.1,False,-99.0,999.0,1825.706586508041
0.0026826957952797246,1e-07,True,0.018785579533692406,0.13082369715412617,0.6988796928673172
0.0026826957952797246,2.6826957952797275e-07,True,0.008470788821231305,0.12974451310465007,0.706169467721616
0.0026826957952797246,7.196856730011514e-07,True,0.04547979966288054,0.12920900836412852,0.692853901508846
0.0026826957952797246,1.9306977288832498e-06,True,-0.3721261484876026,0.13576755000045662,0.7375640097589748
0.0026826957952797246,5.179474679231212e-06,True,-0.8204650975056492,0.11652270397704054,1.0132971249843747
0.0026826957952797246,1.389495494373136e-05,True,-0.49284794025300255,0.21389386155141196,1.103185011219145
0.0026826957952797246,3.727593720314938e-05,True,0.10151544383213054,0.16141467065797696,1.2979780619302541
0.0026826957952797246,0.0001,False,-99.0,999.0,6.267277507826594
0.0026826957952797246,0.00026826957952797245,False,-99.0,999.0,58.198835072830974
0.0026826957952797246,0.0007196856730011514,False,-99.0,999.0,181.8455595505404
0.0026826957952797246,0.0019306977288832496,False,-99.0,999.0,6.488474899034566
0.0026826957952797246,0.005179474679231213,False,-99.0,999.0,642.7356361405589
0.0026826957952797246,0.01389495494373136,False,-99.0,999.0,174.21023881430776
0.0026826957952797246,0.03727593720314938,False,-99.0,999.0,1082.3186734368485
0.0026826957952797246,0.1,False,-99.0,999.0,55450.24791077412
0.005179474679231213,1e-07,True,-0.002673067669465394,0.13084464916438926,0.7042768457387389
0.005179474679231213,2.6826957952797275e-07,True,0.058543208902072846,0.1303492407850984,0.6711183621070339
0.005179474679231213,7.196856730011514e-07,True,-0.1491969359466924,0.13194691024641578,0.6788853969291675
0.005179474679231213,1.9306977288832498e-06,True,-0.3014871509460598,0.13635948674914733,0.7174093167504043
0.005179474679231213,5.179474679231212e-06,True,-0.9859613068336394,0.12514394178002491,0.9249094303490561
0.005179474679231213,1.389495494373136e-05,True,-0.2657704053771734,0.14646269582876656,1.082872365391895
0.005179474679231213,3.727593720314938e-05,True,-1.563144798718149,0.2765681806877434,1.2718089072124021
0.005179474679231213,0.0001,False,-99.0,999.0,8.0351717884861
0.005179474679231213,0.00026826957952797245,False,-99.0,999.0,12.71839348374827
0.005179474679231213,0.0007196856730011514,False,-99.0,999.0,75.67625831073143
