Taps,Mu_M,Mu_C,Steady_State_MSE,Stability
128,0.1,2.1544346900318822e-06,0.13595656998671415,PASS
128,0.1,4.641588833612782e-06,0.14183648631784215,PASS
128,0.1,9.999999999999999e-06,0.14380935329210673,PASS
128,0.1,2.1544346900318823e-05,0.16804946946697397,PASS
128,0.1,4.641588833612772e-05,0.25303437337745205,PASS
128,0.1,0.0001,0.6982484724408304,FAIL
128,0.1,0.00021544346900318823,5.382921291902889,FAIL
128,0.1,0.00046415888336127773,0.7415763924610523,FAIL
128,0.1,0.001,0.21848008770890895,PASS
256,0.0001,1e-06,0.13137327070906935,PASS
256,0.0001,2.1544346900318822e-06,0.13169214057673145,PASS
256,0.0001,4.641588833612782e-06,0.1316918846250634,PASS
256,0.0001,9.999999999999999e-06,0.13162962858126787,PASS
256,0.0001,2.1544346900318823e-05,0.1316115461572394,PASS
256,0.0001,4.641588833612772e-05,0.13192437825533918,PASS
256,0.0001,0.0001,0.13197759898845082,PASS
256,0.0001,0.00021544346900318823,0.13238597026590965,PASS
256,0.0001,0.00046415888336127773,0.13305361718980693,PASS
256,0.0001,0.001,0.13495364027079484,PASS
256,0.00026826957952797245,1e-06,0.13158083511846233,PASS
256,0.00026826957952797245,2.1544346900318822e-06,0.13187432661018528,PASS
256,0.00026826957952797245,4.641588833612782e-06,0.1318363448601334,PASS
256,0.00026826957952797245,9.999999999999999e-06,0.13195319924298138,PASS
256,0.00026826957952797245,2.1544346900318823e-05,0.1320309102357857,PASS
256,0.00026826957952797245,4.641588833612772e-05,0.13153133941469852,PASS
256,0.00026826957952797245,0.0001,0.1325112317213437,PASS
256,0.00026826957952797245,0.00021544346900318823,0.13454204322920982,PASS
256,0.00026826957952797245,0.00046415888336127773,0.13606110358274665,PASS
256,0.00026826957952797245,0.001,0.13950939191127815,PASS
256,0.0007196856730011522,1e-06,0.13136972603415598,PASS
256,0.0007196856730011522,2.1544346900318822e-06,0.13125716979443913,PASS
256,0.0007196856730011522,4.641588833612782e-06,0.1320034059826464,PASS
256,0.0007196856730011522,9.999999999999999e-06,0.1321161432780726,PASS
256,0.0007196856730011522,2.1544346900318823e-05,0.1323268143681275,PASS
256,0.0007196856730011522,4.641588833612772e-05,0.13289148294706324,PASS
256,0.0007196856730011522,0.0001,0.13476995829451874,PASS
256,0.0007196856730011522,0.00021544346900318823,0.13840460446135078,PASS
256,0.0007196856730011522,0.00046415888336127773,0.1433561844828643,PASS
256,0.0007196856730011522,0.001,0.1504477702012736,PASS
256,0.0019306977288832496,1e-06,0.13149956678514263,PASS
256,0.0019306977288832496,2.1544346900318822e-06,0.13176653088391233,PASS
256,0.0019306977288832496,4.641588833612782e-06,0.13217838244742702,PASS
256,0.0019306977288832496,9.999999999999999e-06,0.13272453523633915,PASS
256,0.0019306977288832496,2.1544346900318823e-05,0.13228665838054043,PASS
256,0.0019306977288832496,4.641588833612772e-05,0.13499929936765057,PASS
256,0.0019306977288832496,0.0001,0.13866244729771116,PASS
256,0.0019306977288832496,0.00021544346900318823,0.14449535506054287,PASS
256,0.0019306977288832496,0.00046415888336127773,0.1746804874333859,PASS
256,0.0019306977288832496,0.001,0.25353423947771964,PASS
256,0.005179474679231213,1e-06,0.13187747116795934,PASS
256,0.005179474679231213,2.1544346900318822e-06,0.13207792387344044,PASS
256,0.005179474679231213,4.641588833612782e-06,0.13197711161927292,PASS
256,0.005179474679231213,9.999999999999999e-06,0.13338573181369157,PASS
256,0.005179474679231213,2.1544346900318823e-05,0.13693123314493783,PASS
256,0.005179474679231213,4.641588833612772e-05,0.13931969144232714,PASS
256,0.005179474679231213,0.0001,0.15124141315847334,PASS
256,0.005179474679231213,0.00021544346900318823,0.18174590250102884,PASS
256,0.005179474679231213,0.00046415888336127773,0.29901949857766974,PASS
256,0.005179474679231213,0.001,3.1008922847894906,FAIL
256,0.013894954943731374,1e-06,0.1319946518609814,PASS
256,0.013894954943731374,2.1544346900318822e-06,0.13281316129099738,PASS
256,0.013894954943731374,4.641588833612782e-06,0.13374004083424218,PASS
256,0.013894954943731374,9.999999999999999e-06,0.13617015359042858,PASS
256,0.013894954943731374,2.1544346900318823e-05,0.1436668610549127,PASS
256,0.013894954943731374,4.641588833612772e-05,0.1594663526593936,PASS
256,0.013894954943731374,0.0001,0.18322365337093943,PASS
256,0.013894954943731374,0.00021544346900318823,0.38926511584587775,FAIL
256,0.013894954943731374,0.00046415888336127773,0.9069276960305651,FAIL
256,0.013894954943731374,0.001,40.239349135894905,FAIL
256,0.03727593720314938,1e-06,0.13269380996359398,PASS
256,0.03727593720314938,2.1544346900318822e-06,0.13342447422575832,PASS
256,0.03727593720314938,4.641588833612782e-06,0.13620557060312596,PASS
256,0.03727593720314938,9.999999999999999e-06,0.14252803160402247,PASS
256,0.03727593720314938,2.1544346900318823e-05,0.1586354471719882,PASS
256,0.03727593720314938,4.641588833612772e-05,0.18737650687923252,PASS
256,0.03727593720314938,0.0001,0.3971480105790562,FAIL
256,0.03727593720314938,0.00021544346900318823,1.204924471673322,FAIL
256,0.03727593720314938,0.00046415888336127773,9.642091472749145,FAIL
256,0.03727593720314938,0.001,0.4872557500562942,FAIL
256,0.1,1e-06,0.13360783628223688,PASS
256,0.1,2.1544346900318822e-06,0.1357159374384045,PASS
256,0.1,4.641588833612782e-06,0.14257276575615657,PASS
256,0.1,9.999999999999999e-06,0.1501463673398195,PASS
256,0.1,2.1544346900318823e-05,0.1788678777839148,PASS
256,0.1,4.641588833612772e-05,0.2661121749708906,PASS
256,0.1,0.0001,1.0786667032766266,FAIL
256,0.1,0.00021544346900318823,1.3527011183187663,FAIL
256,0.1,0.00046415888336127773,0.8589051713458221,FAIL
256,0.1,0.001,999.0,FAIL
512,0.0001,1e-06,0.13191052050553637,PASS
512,0.0001,2.1544346900318822e-06,0.13205414273325278,PASS
512,0.0001,4.641588833612782e-06,0.13178506303353432,PASS
512,0.0001,9.999999999999999e-06,0.13171320257284994,PASS
512,0.0001,2.1544346900318823e-05,0.1316943892238002,PASS
512,0.0001,4.641588833612772e-05,0.131740347464761,PASS
512,0.0001,0.0001,0.1320928517001686,PASS
512,0.0001,0.00021544346900318823,0.13254845946848678,PASS
512,0.0001,0.00046415888336127773,0.1332959621864633,PASS
512,0.0001,0.001,0.13465467077675367,PASS
512,0.00026826957952797245,1e-06,0.1317139927565293,PASS
